"","1%","99%"
"2020-03-24",69,129
"2020-03-25",74.99,134.01
"2020-03-26",74.99,142.01
"2020-03-27",77,141
"2020-03-28",77,140.02
"2020-03-29",75,140
"2020-03-30",78,142
"2020-03-31",77.99,143.01
"2020-04-01",75,137.01
"2020-04-02",73,144
"2020-04-03",73,138
"2020-04-04",73.99,139
"2020-04-05",73.99,142.01
"2020-04-06",70.99,140
"2020-04-07",37,116.01
"2020-04-08",39.99,113.03
"2020-04-09",39.99,117
"2020-04-10",36,108
"2020-04-11",33,112
"2020-04-12",34,108
"2020-04-13",32,97
"2020-04-14",31.99,98.01
"2020-04-15",26,89
"2020-04-16",26.99,88.01
"2020-04-17",23,86
"2020-04-18",23.99,79
"2020-04-19",20,78.01
"2020-04-20",21,70.01
"2020-04-21",18.99,70.01
"2020-04-22",17,69
"2020-04-23",16.99,67
"2020-04-24",14.99,61
"2020-04-25",15,62
"2020-04-26",13.99,58
"2020-04-27",11,54
"2020-04-28",11.99,51
"2020-04-29",10,49
"2020-04-30",11,49
"2020-05-01",9,48
"2020-05-02",8.99,42.01
"2020-05-03",8,40
"2020-05-04",7,41
"2020-05-05",7,38
"2020-05-06",6.99,37.01
"2020-05-07",5.99,34
"2020-05-08",5,35.01
"2020-05-09",6,33
"2020-05-10",5,32.01
"2020-05-11",4,30.01
"2020-05-12",4,31.01
"2020-05-13",4,29
"2020-05-14",3,27
"2020-05-15",3,24
"2020-05-16",3,25
"2020-05-17",3,23
"2020-05-18",2,23
"2020-05-19",2.99,22
"2020-05-20",2,20
"2020-05-21",1.99,19.01
"2020-05-22",2,20
