"","dates","quantile","value"
"1",2020-03-31,"1%",26
"2",2020-04-01,"1%",26
"3",2020-04-02,"1%",26.99
"4",2020-04-03,"1%",28
"5",2020-04-04,"1%",27.99
"6",2020-04-05,"1%",29
"7",2020-04-06,"1%",30.99
"8",2020-04-07,"1%",29
"9",2020-04-08,"1%",31
"10",2020-04-09,"1%",31
"11",2020-04-10,"1%",30.99
"12",2020-04-11,"1%",30
"13",2020-04-12,"1%",32
"14",2020-04-13,"1%",33
"15",2020-04-14,"1%",32
"16",2020-04-15,"1%",32
"17",2020-04-16,"1%",34
"18",2020-04-17,"1%",35.99
"19",2020-04-18,"1%",36
"20",2020-04-19,"1%",37
"21",2020-04-20,"1%",36
"22",2020-04-21,"1%",37
"23",2020-04-22,"1%",36
"24",2020-04-23,"1%",39
"25",2020-04-24,"1%",40
"26",2020-04-25,"1%",39
"27",2020-04-26,"1%",39
"28",2020-04-27,"1%",41
"29",2020-04-28,"1%",43
"30",2020-04-29,"1%",42
"31",2020-03-31,"25%",38
"32",2020-04-01,"25%",38
"33",2020-04-02,"25%",39
"34",2020-04-03,"25%",40
"35",2020-04-04,"25%",41
"36",2020-04-05,"25%",42
"37",2020-04-06,"25%",42
"38",2020-04-07,"25%",43
"39",2020-04-08,"25%",43
"40",2020-04-09,"25%",44
"41",2020-04-10,"25%",46
"42",2020-04-11,"25%",45
"43",2020-04-12,"25%",47
"44",2020-04-13,"25%",47
"45",2020-04-14,"25%",48
"46",2020-04-15,"25%",48
"47",2020-04-16,"25%",50.75
"48",2020-04-17,"25%",51
"49",2020-04-18,"25%",51
"50",2020-04-19,"25%",52
"51",2020-04-20,"25%",53
"52",2020-04-21,"25%",54
"53",2020-04-22,"25%",54
"54",2020-04-23,"25%",57
"55",2020-04-24,"25%",57
"56",2020-04-25,"25%",57
"57",2020-04-26,"25%",58
"58",2020-04-27,"25%",59
"59",2020-04-28,"25%",61
"60",2020-04-29,"25%",60
"61",2020-03-31,"50%",43
"62",2020-04-01,"50%",44
"63",2020-04-02,"50%",45
"64",2020-04-03,"50%",45
"65",2020-04-04,"50%",47
"66",2020-04-05,"50%",48
"67",2020-04-06,"50%",48
"68",2020-04-07,"50%",49
"69",2020-04-08,"50%",50
"70",2020-04-09,"50%",50
"71",2020-04-10,"50%",52
"72",2020-04-11,"50%",53
"73",2020-04-12,"50%",53.5
"74",2020-04-13,"50%",54
"75",2020-04-14,"50%",55
"76",2020-04-15,"50%",56
"77",2020-04-16,"50%",58
"78",2020-04-17,"50%",58
"79",2020-04-18,"50%",58
"80",2020-04-19,"50%",60
"81",2020-04-20,"50%",60
"82",2020-04-21,"50%",62
"83",2020-04-22,"50%",63
"84",2020-04-23,"50%",64
"85",2020-04-24,"50%",65
"86",2020-04-25,"50%",65
"87",2020-04-26,"50%",67
"88",2020-04-27,"50%",69
"89",2020-04-28,"50%",70
"90",2020-04-29,"50%",69
"91",2020-03-31,"75%",48
"92",2020-04-01,"75%",50
"93",2020-04-02,"75%",51
"94",2020-04-03,"75%",51
"95",2020-04-04,"75%",53
"96",2020-04-05,"75%",54
"97",2020-04-06,"75%",54
"98",2020-04-07,"75%",55
"99",2020-04-08,"75%",56
"100",2020-04-09,"75%",57
"101",2020-04-10,"75%",59
"102",2020-04-11,"75%",59
"103",2020-04-12,"75%",61
"104",2020-04-13,"75%",62
"105",2020-04-14,"75%",62
"106",2020-04-15,"75%",63
"107",2020-04-16,"75%",66
"108",2020-04-17,"75%",66
"109",2020-04-18,"75%",67
"110",2020-04-19,"75%",68
"111",2020-04-20,"75%",69
"112",2020-04-21,"75%",71
"113",2020-04-22,"75%",71
"114",2020-04-23,"75%",73
"115",2020-04-24,"75%",74
"116",2020-04-25,"75%",75
"117",2020-04-26,"75%",76
"118",2020-04-27,"75%",78
"119",2020-04-28,"75%",80
"120",2020-04-29,"75%",81
"121",2020-03-31,"99%",64
"122",2020-04-01,"99%",65
"123",2020-04-02,"99%",68
"124",2020-04-03,"99%",68.01
"125",2020-04-04,"99%",69
"126",2020-04-05,"99%",72.01
"127",2020-04-06,"99%",72
"128",2020-04-07,"99%",73
"129",2020-04-08,"99%",73.01
"130",2020-04-09,"99%",78
"131",2020-04-10,"99%",77.01
"132",2020-04-11,"99%",79.01
"133",2020-04-12,"99%",80
"134",2020-04-13,"99%",80
"135",2020-04-14,"99%",86
"136",2020-04-15,"99%",85
"137",2020-04-16,"99%",89.01
"138",2020-04-17,"99%",86
"139",2020-04-18,"99%",91.01
"140",2020-04-19,"99%",90
"141",2020-04-20,"99%",93
"142",2020-04-21,"99%",92
"143",2020-04-22,"99%",95.01
"144",2020-04-23,"99%",99
"145",2020-04-24,"99%",101
"146",2020-04-25,"99%",103
"147",2020-04-26,"99%",104.01
"148",2020-04-27,"99%",106.01
"149",2020-04-28,"99%",108.01
"150",2020-04-29,"99%",107.01
